Age,Stage of Change,Symptoms and Disorders,Psychological Treatment,Evidence Level,Basis for Evidence
Adult,Preparation,Anorexia,Specialist Supportive Clinical Mangament,Experimental,"Carter, F. A., Jordan, J., McIntosh, V. V., Luty, S. E., McKenzie, J. M., Frampton,C.M.,... Joyce,P.R. (2011). The long-term efficacy of three psychotherapies for anorexia nervosa: A randomized, controlled trial. International Journal of Eating Disorders, 44, 647?654. http://dx.doi .org/10.1002/eat.20879"
Adult,Action,Anorexia,Specialist Supportive Clinical Mangament,Experimental,"Carter, F. A., Jordan, J., McIntosh, V. V., Luty, S. E., McKenzie, J. M., Frampton,C.M.,... Joyce,P.R. (2011). The long-term efficacy of three psychotherapies for anorexia nervosa: A randomized, controlled trial. International Journal of Eating Disorders, 44, 647?654. http://dx.doi .org/10.1002/eat.20879"
Adult,Maintenance,Anorexia,Specialist Supportive Clinical Mangament,Experimental,"Carter, F. A., Jordan, J., McIntosh, V. V., Luty, S. E., McKenzie, J. M., Frampton,C.M.,... Joyce,P.R. (2011). The long-term efficacy of three psychotherapies for anorexia nervosa: A randomized, controlled trial. International Journal of Eating Disorders, 44, 647?654. http://dx.doi .org/10.1002/eat.20879"
Adult,Precontemplation,Anorexia,Focal Psychodynamic Therapy,Unclear,
Adult,Contemplation,Anorexia,Focal Psychodynamic Therapy,Unclear,
Adult,Preparation,Anorexia,Focal Psychodynamic Therapy,Experimental,"Zipfel, S., Wild, B., Gro·, G., Friederich, H. C., Teufel, M., Schellberg, D., . . . the ANTOP study group. (2014). Focal psychodynamic therapy, cognitive behaviour therapy, and optimised treatment as usual in outpatients with anorexia nervosa (ANTOP study): Randomised controlled trial. The Lancet, 383, 127?137. http://dx.doi.org/10.1016/S01406736(13)61746-8"
Adult,Action,Anorexia,Focal Psychodynamic Therapy,Experimental,"Zipfel, S., Wild, B., Gro·, G., Friederich, H. C., Teufel, M., Schellberg, D., . . . the ANTOP study group. (2014). Focal psychodynamic therapy, cognitive behaviour therapy, and optimised treatment as usual in outpatients with anorexia nervosa (ANTOP study): Randomised controlled trial. The Lancet, 383, 127?137. http://dx.doi.org/10.1016/S01406736(13)61746-8"
Adult,Maintenance,Anorexia,Focal Psychodynamic Therapy,Experimental,"Zipfel, S., Wild, B., Gro·, G., Friederich, H. C., Teufel, M., Schellberg, D., . . . the ANTOP study group. (2014). Focal psychodynamic therapy, cognitive behaviour therapy, and optimised treatment as usual in outpatients with anorexia nervosa (ANTOP study): Randomised controlled trial. The Lancet, 383, 127?137. http://dx.doi.org/10.1016/S01406736(13)61746-8"
Adult,Precontemplation,Anorexia,Enhanced CBT,Unclear,
Adult,Contemplation,Anorexia,Enhanced CBT,Unclear,
Adult,Preparation,Anorexia,Enhanced CBT,Experimental,"Zipfel, S., Wild, B., Gro·, G., Friederich, H. C., Teufel, M., Schellberg, D., . . . the ANTOP study group. (2014). Focal psychodynamic therapy, cognitive behaviour therapy, and optimised treatment as usual in outpatients with anorexia nervosa (ANTOP study): Randomised controlled trial. The Lancet, 383, 127?137. http://dx.doi.org/10.1016/S01406736(13)61746-8"
Adult,Action,Anorexia,Enhanced CBT,Experimental,"Zipfel, S., Wild, B., Gro·, G., Friederich, H. C., Teufel, M., Schellberg, D., . . . the ANTOP study group. (2014). Focal psychodynamic therapy, cognitive behaviour therapy, and optimised treatment as usual in outpatients with anorexia nervosa (ANTOP study): Randomised controlled trial. The Lancet, 383, 127?137. http://dx.doi.org/10.1016/S01406736(13)61746-8"
Adult,Maintenance,Anorexia,Enhanced CBT,Experimental,"Zipfel, S., Wild, B., Gro·, G., Friederich, H. C., Teufel, M., Schellberg, D., . . . the ANTOP study group. (2014). Focal psychodynamic therapy, cognitive behaviour therapy, and optimised treatment as usual in outpatients with anorexia nervosa (ANTOP study): Randomised controlled trial. The Lancet, 383, 127?137. http://dx.doi.org/10.1016/S01406736(13)61746-8"
Child,Precontemplation,Anxiety (general symptoms),CBT (individual or group),Unclear,
Child,Contemplation,Anxiety (general symptoms),CBT (individual or group),Unclear,
Child,Preparation,Anxiety (general symptoms),CBT (individual or group),Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Child,Action,Anxiety (general symptoms),CBT (individual or group),Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Child,Maintenance,Anxiety (general symptoms),CBT (individual or group),Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Adolescent,Precontemplation,Anxiety (general symptoms),CBT (individual or group),Unclear,
Adolescent,Contemplation,Anxiety (general symptoms),CBT (individual or group),Unclear,
Adolescent,Preparation,Anxiety (general symptoms),CBT (individual or group),Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Adolescent,Action,Anxiety (general symptoms),CBT (individual or group),Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Adolescent,Maintenance,Anxiety (general symptoms),CBT (individual or group),Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Child,Precontemplation,Anxiety (general symptoms),Social Skills Training,Unclear,
Child,Contemplation,Anxiety (general symptoms),Social Skills Training,Unclear,
Child,Preparation,Anxiety (general symptoms),Social Skills Training,Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Child,Action,Anxiety (general symptoms),Social Skills Training,Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Child,Maintenance,Anxiety (general symptoms),Social Skills Training,Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Adolescent,Precontemplation,Anxiety (general symptoms),Social Skills Training,Unclear,
Adolescent,Contemplation,Anxiety (general symptoms),Social Skills Training,Unclear,
Adolescent,Preparation,Anxiety (general symptoms),Social Skills Training,Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Adolescent,Action,Anxiety (general symptoms),Social Skills Training,Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Adolescent,Maintenance,Anxiety (general symptoms),Social Skills Training,Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Child,Precontemplation,Anxiety (general symptoms),Exposure with response prevention,Unclear,
Child,Contemplation,Anxiety (general symptoms),Exposure with response prevention,Unclear,
Child,Preparation,Anxiety (general symptoms),Exposure with response prevention,Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Child,Action,Anxiety (general symptoms),Exposure with response prevention,Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Child,Maintenance,Anxiety (general symptoms),Exposure with response prevention,Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Adolescent,Precontemplation,Anxiety (general symptoms),Exposure with response prevention,Unclear,
Adolescent,Contemplation,Anxiety (general symptoms),Exposure with response prevention,Unclear,
Adolescent,Preparation,Anxiety (general symptoms),Exposure with response prevention,Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Adolescent,Action,Anxiety (general symptoms),Exposure with response prevention,Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Adolescent,Maintenance,Anxiety (general symptoms),Exposure with response prevention,Good,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Child,Precontemplation,Anxiety (general symptoms),Family-based CBT,Unclear,
Child,Contemplation,Anxiety (general symptoms),Family-based CBT,Unclear,
Child,Preparation,Anxiety (general symptoms),Family-based CBT,Fair,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Child,Action,Anxiety (general symptoms),Family-based CBT,Fair,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Child,Maintenance,Anxiety (general symptoms),Family-based CBT,Fair,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Adolescent,Precontemplation,Anxiety (general symptoms),Family-based CBT,Unclear,
Adolescent,Contemplation,Anxiety (general symptoms),Family-based CBT,Unclear,
Adolescent,Preparation,Anxiety (general symptoms),Family-based CBT,Fair,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Adolescent,Action,Anxiety (general symptoms),Family-based CBT,Fair,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Adolescent,Maintenance,Anxiety (general symptoms),Family-based CBT,Fair,"Silverman, W. K., Pina, A. A., & Viswesvaran, C. (2008). Evidence-based psychosocial treatments for phobic and anxiety disorders in children and adolescents: A review and meta-analyses. Journal of Clinical Child & Adolescent Psychology, 37, 105-130."
Adult,Precontemplation,Anxiety (general symptoms),CBT,Unclear,
Adult,Contemplation,Anxiety (general symptoms),CBT,Unclear,
Adult,Preparation,Anxiety (general symptoms),CBT,Excellent,"Olatunji, B. O., Cisler, J. M., & Deacon, B. J. (2010). Efficacy of cognitive behavioral therapy for anxiety disorders: A review of meta-analytic findings. The Psychiatric Clinics of North America, 33(3), 557. ; Borkovec, T. D., Newman, M. G., Pincus, A. L., & Lytle, R. (2002). A component analysis of cognitive? behavioral therapy for generalized anxiety disorder and the role of interpersonal problems.ˇJournal of Consulting and Clinical Psychology, 70, 288?298. ; Butler, A. C., Chapman, J. E., Forman, E. M., & Beck, A. T. (2006). The empirical status of cognitive-behavioral therapy: A review of meta-analyses.ˇClinical Psychology Review, 26, 17-31. ; Kohli, A., Nehra, V., & Nehra, R. (2000). Comparison of efficacy of psychorelaxation and pharmacotherapy in generalized anxiety disorder.ˇJournal of Personality and Clinical Studies, 16, 43?48. ; Ladouceur, R., Dugas, M. J., Freeston, M. H., Le?ger, E., Gagnon, F., & Thibodeau, N. (2000). Efficacy of cognitive? behavioral treatment of generalized anxiety disorder: Evaluation in a controlled clinical trial.ˇJournal of Consulting and Clinical Psychology, 68, 957?964. ; Mitte, K. (2005). Meta-analysis of cognitive-behavioral treatments for generalized anxiety disorder: a comparison with pharmacotherapy.ˇPsychological Bulletin, 131, 785?95."
Adult,Action,Anxiety (general symptoms),CBT,Excellent,"Olatunji, B. O., Cisler, J. M., & Deacon, B. J. (2010). Efficacy of cognitive behavioral therapy for anxiety disorders: A review of meta-analytic findings. The Psychiatric Clinics of North America, 33(3), 557. ; Borkovec, T. D., Newman, M. G., Pincus, A. L., & Lytle, R. (2002). A component analysis of cognitive? behavioral therapy for generalized anxiety disorder and the role of interpersonal problems.ˇJournal of Consulting and Clinical Psychology, 70, 288?298. ; Butler, A. C., Chapman, J. E., Forman, E. M., & Beck, A. T. (2006). The empirical status of cognitive-behavioral therapy: A review of meta-analyses.ˇClinical Psychology Review, 26, 17-31. ; Kohli, A., Nehra, V., & Nehra, R. (2000). Comparison of efficacy of psychorelaxation and pharmacotherapy in generalized anxiety disorder.ˇJournal of Personality and Clinical Studies, 16, 43?48. ; Ladouceur, R., Dugas, M. J., Freeston, M. H., Le?ger, E., Gagnon, F., & Thibodeau, N. (2000). Efficacy of cognitive? behavioral treatment of generalized anxiety disorder: Evaluation in a controlled clinical trial.ˇJournal of Consulting and Clinical Psychology, 68, 957?964. ; Mitte, K. (2005). Meta-analysis of cognitive-behavioral treatments for generalized anxiety disorder: a comparison with pharmacotherapy.ˇPsychological Bulletin, 131, 785?95."
Adult,Maintenance,Anxiety (general symptoms),CBT,Excellent,"Olatunji, B. O., Cisler, J. M., & Deacon, B. J. (2010). Efficacy of cognitive behavioral therapy for anxiety disorders: A review of meta-analytic findings. The Psychiatric Clinics of North America, 33(3), 557. ; Borkovec, T. D., Newman, M. G., Pincus, A. L., & Lytle, R. (2002). A component analysis of cognitive? behavioral therapy for generalized anxiety disorder and the role of interpersonal problems.ˇJournal of Consulting and Clinical Psychology, 70, 288?298. ; Butler, A. C., Chapman, J. E., Forman, E. M., & Beck, A. T. (2006). The empirical status of cognitive-behavioral therapy: A review of meta-analyses.ˇClinical Psychology Review, 26, 17-31. ; Kohli, A., Nehra, V., & Nehra, R. (2000). Comparison of efficacy of psychorelaxation and pharmacotherapy in generalized anxiety disorder.ˇJournal of Personality and Clinical Studies, 16, 43?48. ; Ladouceur, R., Dugas, M. J., Freeston, M. H., Le?ger, E., Gagnon, F., & Thibodeau, N. (2000). Efficacy of cognitive? behavioral treatment of generalized anxiety disorder: Evaluation in a controlled clinical trial.ˇJournal of Consulting and Clinical Psychology, 68, 957?964. ; Mitte, K. (2005). Meta-analysis of cognitive-behavioral treatments for generalized anxiety disorder: a comparison with pharmacotherapy.ˇPsychological Bulletin, 131, 785?95."
Child,Precontemplation,ADHD,Parent Management Training,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Child,Contemplation,ADHD,Parent Management Training,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Child,Preparation,ADHD,Parent Management Training,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Child,Action,ADHD,Parent Management Training,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Child,Maintenance,ADHD,Parent Management Training,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Adolescent,Precontemplation,ADHD,Parent Management Training,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Adolescent,Contemplation,ADHD,Parent Management Training,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Adolescent,Preparation,ADHD,Parent Management Training,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Adolescent,Action,ADHD,Parent Management Training,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Adolescent,Maintenance,ADHD,Parent Management Training,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Child,Precontemplation,ADHD,Behavioral classroom management,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Child,Contemplation,ADHD,Behavioral classroom management,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Child,Preparation,ADHD,Behavioral classroom management,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Child,Action,ADHD,Behavioral classroom management,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Child,Maintenance,ADHD,Behavioral classroom management,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Adolescent,Precontemplation,ADHD,Behavioral classroom management,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Adolescent,Contemplation,ADHD,Behavioral classroom management,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Adolescent,Preparation,ADHD,Behavioral classroom management,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Adolescent,Action,ADHD,Behavioral classroom management,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Adolescent,Maintenance,ADHD,Behavioral classroom management,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Child,Precontemplation,ADHD,Behavioral peer interventions,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Child,Contemplation,ADHD,Behavioral peer interventions,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Child,Preparation,ADHD,Behavioral peer interventions,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Child,Action,ADHD,Behavioral peer interventions,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
Child,Maintenance,ADHD,Behavioral peer interventions,Excellent,"Evans, S.W., Owens, J.S., & Bunford, N. (2014).  Evidence-based psychosocial treatments for children and adoelscents with attention-deficit/hyperactivity disorder.  Journal of Clinical Child & Adolescent Psychology, 43(4), 527-551."
